time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20130527T013102,1.29328,0,0,1.29378,0,0
20130527T013108,1.29323,0,0,1.29373,0,0
20130527T013109,1.29328,0,0,1.29378,0,0
20130527T013110,1.29323,0,0,1.29373,0,0
20130527T013112,1.29315,0,0,1.29365,0,0
20130527T013117,1.29323,0,0,1.29373,0,0
20130527T013129,1.29318,0,0,1.29368,0,0
20130527T013130,1.2931,0,0,1.2936,0,0
20130527T013136,1.29315,0,0,1.29365,0,0
20130527T013156,1.2932,0,0,1.2937,0,0
20130527T013156,1.29328,0,0,1.29378,0,0
20130527T013223,1.29333,0,0,1.29383,0,0
20130527T013244,1.29338,0,0,1.29388,0,0
20130527T013251,1.29333,0,0,1.29383,0,0
20130527T013257,1.29338,0,0,1.29388,0,0
20130527T013259,1.29343,0,0,1.29393,0,0
20130527T013302,1.29338,0,0,1.29388,0,0
20130527T013423,1.29343,0,0,1.29393,0,0
20130527T013424,1.29347,0,0,1.29397,0,0
20130527T013428,1.29343,0,0,1.29393,0,0
20130527T013440,1.29338,0,0,1.29388,0,0
20130527T013618,1.29333,0,0,1.29383,0,0
20130527T013620,1.29338,0,0,1.29388,0,0
20130527T013620,1.29333,0,0,1.29383,0,0
20130527T013620,1.29338,0,0,1.29388,0,0
20130527T013637,1.29345,0,0,1.29395,0,0
20130527T013647,1.2934,0,0,1.2939,0,0
20130527T013650,1.29345,0,0,1.29395,0,0
20130527T013656,1.2935,0,0,1.294,0,0
20130527T013659,1.29343,0,0,1.29393,0,0
20130527T013749,1.29338,0,0,1.29388,0,0
20130527T013750,1.29343,0,0,1.29393,0,0
20130527T013751,1.29338,0,0,1.29388,0,0
20130527T013754,1.29343,0,0,1.29393,0,0
20130527T013759,1.29347,0,0,1.29397,0,0
20130527T013844,1.29343,0,0,1.29393,0,0
20130527T013845,1.29338,0,0,1.29388,0,0
20130527T013929,1.29333,0,0,1.29383,0,0
20130527T013930,1.29328,0,0,1.29378,0,0
20130527T014011,1.29323,0,0,1.29373,0,0
20130527T014034,1.2933,0,0,1.2938,0,0
20130527T014136,1.29338,0,0,1.29388,0,0
20130527T014350,1.29343,0,0,1.29393,0,0
20130527T014519,1.29347,0,0,1.29397,0,0
20130527T014519,1.29355,0,0,1.29405,0,0
20130527T014519,1.29363,0,0,1.29413,0,0
20130527T014519,1.29355,0,0,1.29405,0,0
20130527T014522,1.2935,0,0,1.294,0,0
20130527T014524,1.29355,0,0,1.29405,0,0
20130527T014640,1.2936,0,0,1.2941,0,0
20130527T014655,1.29355,0,0,1.29405,0,0
20130527T014701,1.2935,0,0,1.294,0,0
20130527T014723,1.29343,0,0,1.29393,0,0
20130527T014723,1.29338,0,0,1.29388,0,0
20130527T014753,1.29333,0,0,1.29383,0,0
20130527T014754,1.29338,0,0,1.29388,0,0
20130527T014805,1.29328,0,0,1.29378,0,0
20130527T014805,1.29335,0,0,1.29385,0,0
20130527T014805,1.29328,0,0,1.29378,0,0
20130527T014806,1.29335,0,0,1.29385,0,0
20130527T014822,1.2933,0,0,1.2938,0,0
20130527T014911,1.29335,0,0,1.29385,0,0
20130527T014943,1.2933,0,0,1.2938,0,0
20130527T015005,1.29335,0,0,1.29385,0,0
20130527T015009,1.2934,0,0,1.2939,0,0
20130527T015102,1.29335,0,0,1.29385,0,0
20130527T015102,1.2933,0,0,1.2938,0,0
20130527T015147,1.29338,0,0,1.29388,0,0
20130527T015152,1.29345,0,0,1.29395,0,0
20130527T015153,1.2935,0,0,1.294,0,0
20130527T015153,1.29355,0,0,1.29405,0,0
20130527T015157,1.29365,0,0,1.29415,0,0
20130527T015200,1.2936,0,0,1.2941,0,0
20130527T015219,1.29353,0,0,1.29403,0,0
20130527T015222,1.2935,0,0,1.29415,0,0
20130527T015222,1.29355,0,0,1.29405,0,0
